the_geom,segmentid,bikeid,prevbikeid,status,boro,street,fromstreet,tostreet,onoffst,facilitycl,allclasses,bikedir,lanecount,ft_facilit,tf_facilit,instdate,grnwy,gwsystem,spur,gwyjuris,ret_date,gwsys2,tf2facilit,ft2facilit,category
"{'type': MultiLineString, 'coordinates': [[[-73.98289841998411, 40.699832924116755], [-73.98282407997864, 40.69982320372534]]]}",0187942,1429.0,NA,Retired,3,SANDS ST,NAVY ST,GOLD ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,Greenway,,,DOT,2009-11-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.97410905434786, 40.689662582982656], [-73.97312638404527, 40.68962188863436]]]}",0030060,1123.0,NA,Current,3,DE KALB AV,MALCOLM X BLVD,HUDSON AV,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99097422187032, 40.718347930469655], [-73.99052862109745, 40.71915973134231]]]}",0164277,81.0,NA,Retired,1,ALLEN ST,E HOUSTON ST,CANAL ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99197674914275, 40.71091126588519], [-73.99191690662008, 40.71059750571498]]]}",0182693,438.0,NA,Retired,1,PIKE SLIP,SOUTH ST,CHERRY ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.98923006537431, 40.721677091048484], [-73.98908820962086, 40.72206691906051]]]}",9006455,81.0,NA,Retired,1,ALLEN ST,E HOUSTON ST,CANAL ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99213550338159, 40.71157561425511], [-73.99202215989386, 40.7111013002336]]]}",9008008,440.0,NA,Retired,1,PIKE ST,CHERRY ST,DIVISION ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99052862109745, 40.71915973134231], [-73.99048098315501, 40.71924102544025]]]}",0164276,81.0,NA,Retired,1,ALLEN ST,E HOUSTON ST,CANAL ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99224319351885, 40.71226805485064], [-73.99221856028792, 40.71206565441147]]]}",9006498,440.0,NA,Retired,1,PIKE ST,CHERRY ST,DIVISION ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.98042941145636, 40.68990041424363], [-73.97951029737418, 40.68986300003388]]]}",0024570,1123.0,NA,Current,3,DE KALB AV,MALCOLM X BLVD,HUDSON AV,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.97723449089136, 40.68977832931084], [-73.97709802132377, 40.68977293427325]]]}",0293297,1123.0,NA,Current,3,DE KALB AV,MALCOLM X BLVD,HUDSON AV,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.97610195527605, 40.68973652299659], [-73.9751056641424, 40.689697508670605]]]}",0029910,1123.0,NA,Current,3,DE KALB AV,MALCOLM X BLVD,HUDSON AV,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.97385472446163, 40.69328655940896], [-73.97355943409237, 40.69326225824317]]]}",0105987,1302.0,NA,Retired,3,MYRTLE AV,WASHINGTON PK,CARLTON AV,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,2007-05-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.97355943409237, 40.69326225824317], [-73.97332950082397, 40.69325803671277]]]}",0110001,1302.0,NA,Retired,3,MYRTLE AV,WASHINGTON PK,CARLTON AV,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,2007-05-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.98961242294853, 40.687991836831934], [-73.9900350027276, 40.6873651258141]]]}",0022705,1459.0,NA,Retired,3,SMITH ST,BERGEN ST,PACIFIC ST,ON,III,III,L,1,,Signed Route,2004-06-01T00:00:00.000,,,,,2008-10-03T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99142272668875, 40.71741757585596], [-73.99097422187032, 40.718347930469655]]]}",0032663,81.0,NA,Retired,1,ALLEN ST,E HOUSTON ST,CANAL ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.98057251421753, 40.699758377137265], [-73.98046217334984, 40.699703157966056]]]}",0187945,1429.0,NA,Retired,3,SANDS ST,NAVY ST,GOLD ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,Greenway,,,DOT,2009-11-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99191690662008, 40.71059750571498], [-73.99185354512353, 40.710245893176975]]]}",0239497,438.0,NA,Retired,1,PIKE SLIP,SOUTH ST,CHERRY ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99202215989386, 40.7111013002336], [-73.99200166162441, 40.711015522456435]]]}",9008009,440.0,NA,Retired,1,PIKE ST,CHERRY ST,DIVISION ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99290130195347, 40.71456389663941], [-73.99259915889145, 40.71511310787642]]]}",0110893,79.0,NA,Retired,1,ALLEN ST,CANAL ST,DIVISION ST,ON,II,II,L,2,,Conventional,2004-06-01T00:00:00.000,,,,,2009-08-01T00:00:00.000,,Conventional,,other
"{'type': MultiLineString, 'coordinates': [[[-73.98264368975546, 40.69981801132677], [-73.98255293204065, 40.699815398726976]]]}",9007988,1429.0,NA,Retired,3,SANDS ST,NAVY ST,GOLD ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,Greenway,,,DOT,2009-11-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.98273644236086, 40.699820680886496], [-73.98264368975546, 40.69981801132677]]]}",9007985,1429.0,NA,Retired,3,SANDS ST,NAVY ST,GOLD ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,Greenway,,,DOT,2009-11-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.97951029737418, 40.68986300003388], [-73.9786254596997, 40.68983894036689]]]}",0024575,1123.0,NA,Current,3,DE KALB AV,MALCOLM X BLVD,HUDSON AV,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.9751056641424, 40.689697508670605], [-73.97410905434786, 40.689662582982656]]]}",0030058,1123.0,NA,Current,3,DE KALB AV,MALCOLM X BLVD,HUDSON AV,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.97114274528083, 40.689543820085575], [-73.97013154240484, 40.68950630783683]]]}",0030165,1125.0,NA,Retired,3,DE KALB AV,WASHINGTON AV,CUMBERLAND ST,ON,III,III,L,1,,Signed Route,2004-06-01T00:00:00.000,,,,,2008-05-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99256242157453, 40.71438807760667], [-73.99246827721696, 40.713856824362736]]]}",0024153,440.0,NA,Retired,1,PIKE ST,CHERRY ST,DIVISION ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99221856028792, 40.71206565441147], [-73.99220577849577, 40.711960635090556]]]}",9006499,440.0,NA,Retired,1,PIKE ST,CHERRY ST,DIVISION ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.9921548451762, 40.711656556180706], [-73.99213550338159, 40.71157561425511]]]}",9008007,440.0,NA,Retired,1,PIKE ST,CHERRY ST,DIVISION ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.97013154240484, 40.68950630783683], [-73.96910362503922, 40.689467521497214]]]}",0030167,1125.0,NA,Retired,3,DE KALB AV,WASHINGTON AV,CUMBERLAND ST,ON,III,III,L,1,,Signed Route,2004-06-01T00:00:00.000,,,,,2008-05-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99259915889145, 40.71511310787642], [-73.99201357799848, 40.716235509737324]]]}",0024148,81.0,NA,Retired,1,ALLEN ST,E HOUSTON ST,CANAL ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.98908820962086, 40.72206691906051], [-73.98905004231626, 40.72217180407853]]]}",9006466,81.0,NA,Retired,1,ALLEN ST,E HOUSTON ST,CANAL ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.98255293204065, 40.699815398726976], [-73.98240408964014, 40.69981111484497]]]}",9007989,1429.0,NA,Retired,3,SANDS ST,NAVY ST,GOLD ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,Greenway,,,DOT,2009-11-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.9921625043789, 40.711706162236], [-73.9921548451762, 40.711656556180706]]]}",9008006,440.0,NA,Retired,1,PIKE ST,CHERRY ST,DIVISION ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,,,,,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99177949950315, 40.70982663974729], [-73.99177948531282, 40.70982655599875], [-73.991763092794, 40.70973227403236]]]}",10000046,7314.0,NA,Retired,1,PIKE SLIP,EAST RIVER ESPLANADE,SOUTH ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,Greenway,Manhattan Waterfront,Pike/Allen Malls,DOT,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.991763092794, 40.70973227403236], [-73.99174968270182, 40.70965515241321]]]}",10000047,7314.0,NA,Retired,1,PIKE SLIP,EAST RIVER ESPLANADE,SOUTH ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,Greenway,Manhattan Waterfront,Pike/Allen Malls,DOT,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99174968270182, 40.70965515241321], [-73.99174346960652, 40.70961941789166]]]}",10000048,7314.0,NA,Retired,1,PIKE SLIP,EAST RIVER ESPLANADE,SOUTH ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,Greenway,Manhattan Waterfront,Pike/Allen Malls,DOT,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99174346960652, 40.70961941789166], [-73.9917372919946, 40.70958388418613]]]}",10000049,7314.0,NA,Retired,1,PIKE SLIP,EAST RIVER ESPLANADE,SOUTH ST,ON,II,II,L,1,,Conventional,2004-06-01T00:00:00.000,Greenway,Manhattan Waterfront,Pike/Allen Malls,DOT,2009-08-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.98453279429354, 40.72804156517882], [-73.98446859465487, 40.728014831238404]]]}",0310713,305.0,NA,Current,1,E 9 ST,3 AV,AV A,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.98865172476006, 40.729794141935656], [-73.9872497770128, 40.7291861609562]]]}",0164374,305.0,NA,Current,1,E 9 ST,3 AV,AV A,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.98946844589172, 40.730120978046834], [-73.98891320749941, 40.72990565036371]]]}",0032922,304.0,NA,Current,1,E 9 ST,AV OF THE AMERICAS,AV A,ON,II,II,L,1,,Curbside,2004-11-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.96880408675135, 40.673210674892005], [-73.96882876473511, 40.673142176692316]]]}",0299380,1381.0,NA,Retired,3,PLAZA ST E,EASTERN PKWY,FLATBUSH AV,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,Greenway,,,DOT,2012-08-04T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.97104919084256, 40.67523711256788], [-73.97095473648707, 40.67531611795009], [-73.97084041358082, 40.67538696856047], [-73.97070801103682, 40.675445675514496], [-73.97056111314356, 40.67548857547202], [-73.97040486984105, 40.675512938441074], [-73.97024548674733, 40.675517372892095], [-73.9700894254346, 40.67550212273049], [-73.96994256369167, 40.675468900483686], [-73.96980947529399, 40.67542063406036], [-73.96969317596817, 40.67536085432082]]]}",0029144,1381.0,NA,Retired,3,PLAZA ST E,EASTERN PKWY,FLATBUSH AV,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,Greenway,,,DOT,2012-08-04T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99997260615292, 40.73468790070217], [-74.00138878549427, 40.73448281966103]]]}",0032424,514.0,NA,Retired,1,W 10 ST,WAVERLY PL,GREENWICH AV,ON,III,III,L,1,,Signed Route,2004-11-01T00:00:00.000,,,,,2009-06-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99924564883537, 40.73478812476484], [-73.99997260615292, 40.73468790070217]]]}",0032432,512.0,NA,Retired,1,W 10 ST,GREENWICH AV,6 AV,ON,III,III,L,1,,Signed Route,2004-11-01T00:00:00.000,,,,,2009-06-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-74.00629424175662, 40.73374204223126], [-74.00677287390361, 40.73367181957317]]]}",0294108,515.0,NA,Retired,1,W 10 ST,WEST ST,HUDSON ST,ON,III,III,L,1,,Signed Route,2004-11-01T00:00:00.000,,,,,2009-06-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.96969317596817, 40.67536085432082], [-73.9696294015014, 40.67532485653057], [-73.96956748253606, 40.675287026647744], [-73.96950751130565, 40.67524741963122], [-73.96944957530984, 40.675206094941146], [-73.96939375968178, 40.675163112037254], [-73.96934014482137, 40.67511853398011], [-73.96928880994365, 40.67507242653146], [-73.96923983071417, 40.67502485635263], [-73.96919327924738, 40.67497589460663], [-73.96914922292603, 40.67492561245516], [-73.96910772676561, 40.674874082860214], [-73.96906885104869, 40.67482138148398], [-73.96903265250776, 40.67476758668917], [-73.96899918550936, 40.67471277593725]]]}",0029149,1381.0,NA,Retired,3,PLAZA ST E,EASTERN PKWY,FLATBUSH AV,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,Greenway,,,DOT,2012-08-04T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-74.00138878549427, 40.73448281966103], [-74.00239106928416, 40.73433981155468]]]}",0032232,510.0,NA,Retired,1,W 10 ST,BLEECKER ST,WAVERLY PL,ON,III,III,L,1,,Signed Route,2004-11-01T00:00:00.000,,,,,2009-06-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-74.00677287390361, 40.73367181957317], [-74.00683647339166, 40.73366248835272]]]}",0294110,515.0,NA,Retired,1,W 10 ST,WEST ST,HUDSON ST,ON,III,III,L,1,,Signed Route,2004-11-01T00:00:00.000,,,,,2009-06-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-74.00683647339166, 40.73366248835272], [-74.00734413931487, 40.73358800218902]]]}",0294111,515.0,NA,Retired,1,W 10 ST,WEST ST,HUDSON ST,ON,III,III,L,1,,Signed Route,2004-11-01T00:00:00.000,,,,,2009-06-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-74.00734413931487, 40.73358800218902], [-74.00855364212902, 40.73340091019008]]]}",0031957,515.0,NA,Retired,1,W 10 ST,WEST ST,HUDSON ST,ON,III,III,L,1,,Signed Route,2004-11-01T00:00:00.000,,,,,2009-06-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.9687173315317, 40.67392668331117], [-73.96871497243416, 40.673875194820354], [-73.96871393330372, 40.67382368147366], [-73.9687142141288, 40.67377216128148], [-73.968715816079, 40.67372065585647], [-73.96871873795962, 40.67366918410904], [-73.96872297975878, 40.67361776494994], [-73.96872853791547, 40.67356641908991], [-73.96873541123462, 40.673515166339705], [-73.96874359615657, 40.67346402470845], [-73.96875309148625, 40.673413014006954], [-73.96876389248013, 40.67336215494539], [-73.9687759955786, 40.673311465532755], [-73.96878939485573, 40.67326096557829], [-73.96880408675135, 40.673210674892005]]]}",0299379,1381.0,NA,Retired,3,PLAZA ST E,EASTERN PKWY,FLATBUSH AV,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,Greenway,,,DOT,2012-08-04T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.88829811163497, 40.68515419287613], [-73.8881753412054, 40.68512802084999]]]}",0302497,7783.0,NA,Current,3,HIGHLAND BLVD GREENWAY,JAMAICA AV,HIGHLAND BLVD,OFF,I,I,L,1,,Protected,2004-11-01T00:00:00.000,Greenway,Central Queens,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-74.00980015310844, 40.73320367162236], [-74.01016258133484, 40.733164720247586]]]}",0164167,515.0,NA,Retired,1,W 10 ST,WEST ST,HUDSON ST,ON,III,III,L,1,,Signed Route,2004-11-01T00:00:00.000,,,,,2009-06-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99871443868257, 40.73478386065753], [-73.99887249148955, 40.73483896439175]]]}",0110937,512.0,NA,Retired,1,W 10 ST,GREENWICH AV,6 AV,ON,III,III,L,1,,Signed Route,2004-11-01T00:00:00.000,,,,,2009-06-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-74.00456134410614, 40.73400962882137], [-74.00629424175662, 40.73374204223126]]]}",0031976,513.0,NA,Retired,1,W 10 ST,HUDSON ST,BLEECKER ST,ON,III,III,L,1,,Signed Route,2004-11-01T00:00:00.000,,,,,2009-06-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-74.00239106928416, 40.73433981155468], [-74.00296962511015, 40.7342523407551]]]}",0032222,510.0,NA,Retired,1,W 10 ST,BLEECKER ST,WAVERLY PL,ON,III,III,L,1,,Signed Route,2004-11-01T00:00:00.000,,,,,2009-06-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-74.00855364212902, 40.73340091019008], [-74.00980015310844, 40.73320367162236]]]}",0031704,515.0,NA,Retired,1,W 10 ST,WEST ST,HUDSON ST,ON,III,III,L,1,,Signed Route,2004-11-01T00:00:00.000,,,,,2009-06-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.98485763050714, 40.72817683325033], [-73.98453279429354, 40.72804156517882]]]}",0310711,305.0,NA,Current,1,E 9 ST,3 AV,AV A,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.98891320749941, 40.72990565036371], [-73.98865172476006, 40.729794141935656]]]}",0164373,305.0,NA,Current,1,E 9 ST,3 AV,AV A,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99591437457866, 40.73284718171242], [-73.99429729097812, 40.73216586053081]]]}",0032613,6567.0,NA,Current,1,E 9 ST,BROADWAY,5 AV,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.9906402421653, 40.73062286958345], [-73.99050558581659, 40.73056495676802]]]}",0106041,607.0,NA,Current,1,WANAMAKER PL,AV OF THE AMERICAS,AV A,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.96899918550936, 40.67471277593725], [-73.96891154570196, 40.67456356217106], [-73.96883890268266, 40.67440897632342], [-73.96878202098567, 40.674250353193194], [-73.96874143563511, 40.67408910675759], [-73.9687173315317, 40.67392668331117]]]}",0029154,1381.0,NA,Retired,3,PLAZA ST E,EASTERN PKWY,FLATBUSH AV,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,Greenway,,,DOT,2012-08-04T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.98446859465487, 40.728014831238404], [-73.98385527593842, 40.727759428327076]]]}",0313172,305.0,NA,Current,1,E 9 ST,3 AV,AV A,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.98362609412843, 40.72766398975986], [-73.98265717315242, 40.727260489285264]]]}",0313177,305.0,NA,Current,1,E 9 ST,3 AV,AV A,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.9872497770128, 40.7291861609562], [-73.98485763050714, 40.72817683325033]]]}",0032914,305.0,NA,Current,1,E 9 ST,3 AV,AV A,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99549001342321, 40.73343614230183], [-73.99643264525862, 40.7338301512335]]]}",0330366,511.0,NA,Current,1,W 10 ST,GREENWICH AV,AV A,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.88962787543689, 40.68423645410719], [-73.88908895350363, 40.684640552430594]]]}",0047771,1222.0,NA,Current,3,HIGHLAND BLVD,MILLER AV,VERMONT PL,ON,II,II,L,1,,Conventional Buffered,2004-11-01T00:00:00.000,Greenway,Central Queens,Main Alignment,DOT,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-74.00296962511015, 40.7342523407551], [-74.00396679567629, 40.73410029056819]]]}",0293731,510.0,NA,Retired,1,W 10 ST,BLEECKER ST,WAVERLY PL,ON,III,III,L,1,,Signed Route,2004-11-01T00:00:00.000,,,,,2009-06-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-74.00396679567629, 40.73410029056819], [-74.00410039469081, 40.7340799190994]]]}",0293752,510.0,NA,Retired,1,W 10 ST,BLEECKER ST,WAVERLY PL,ON,III,III,L,1,,Signed Route,2004-11-01T00:00:00.000,,,,,2009-06-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.98385527593842, 40.727759428327076], [-73.98362609412843, 40.72766398975986]]]}",0313176,305.0,NA,Current,1,E 9 ST,3 AV,AV A,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99050558581659, 40.73056495676802], [-73.99008734246803, 40.73038855604424]]]}",0032776,6568.0,NA,Current,1,E 9 ST,3 AV,LAFAYETTE ST,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.88908895350363, 40.684640552430594], [-73.88829811163497, 40.68515419287613]]]}",0302145,7782.0,NA,Current,3,HIGHLAND BLVD,MILLER AV,VERMONT PL,ON,II,II,L,1,,Curbside,2004-11-01T00:00:00.000,Greenway,Central Queens,Main Alignment,DOT,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99192069741395, 40.73116629728517], [-73.9906402421653, 40.73062286958345]]]}",0106040,607.0,NA,Current,1,WANAMAKER PL,AV OF THE AMERICAS,AV A,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99887249148955, 40.73483896439175], [-73.99924564883537, 40.73478812476484]]]}",0110938,512.0,NA,Retired,1,W 10 ST,GREENWICH AV,6 AV,ON,III,III,L,1,,Signed Route,2004-11-01T00:00:00.000,,,,,2009-06-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-74.00410039469081, 40.7340799190994], [-74.00456134410614, 40.73400962882137]]]}",0293753,510.0,NA,Retired,1,W 10 ST,BLEECKER ST,WAVERLY PL,ON,III,III,L,1,,Signed Route,2004-11-01T00:00:00.000,,,,,2009-06-01T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99643264525862, 40.7338301512335], [-73.99871443868257, 40.73478386065753]]]}",0330367,511.0,NA,Current,1,W 10 ST,GREENWICH AV,AV A,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99008734246803, 40.73038855604424], [-73.98946844589172, 40.730120978046834]]]}",0032918,6568.0,NA,Current,1,E 9 ST,3 AV,LAFAYETTE ST,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.99429729097812, 40.73216586053081], [-73.99192069741395, 40.73116629728517]]]}",0032624,6567.0,NA,Current,1,E 9 ST,BROADWAY,5 AV,ON,II,II,L,1,,Conventional,2004-11-01T00:00:00.000,,,,,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.97255709401136, 40.57977929886439], [-73.97465985269724, 40.57990134903985]]]}",9009167,1318.0,NA,Retired,3,NEPTUNE AV,W 37 ST,BRIGHTON 8 ST,ON,III,III,L,1,,Shared,2005-08-01T00:00:00.000,Greenway,,,DOT,2017-03-09T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.970410784215, 40.579780715771584], [-73.97051295725748, 40.579768331918594], [-73.9706154095543, 40.57975736907311], [-73.9707181068581, 40.579747832628755], [-73.97082101610407, 40.579739724377625], [-73.970924100684, 40.57973304701137], [-73.9710273287135, 40.57972780412363], [-73.97113066476658, 40.579723995705116], [-73.97123407459732, 40.57972162444847], [-73.97133752396122, 40.579720689444564], [-73.97144097743119, 40.57972119338589], [-73.97154440312582, 40.57972313356306], [-73.97164776443772, 40.57972651086764], [-73.97175102830349, 40.57973132439108], [-73.97185416047942, 40.57973757142374]]]}",0133494,7959.0,6028,Current,3,NEPTUNE AVE,W 6 ST,OCEAN PKWY,ON,III,III,L,1,,Shared,2005-08-01T00:00:00.000,Greenway,Brooklyn Waterfront,Main Alignment,DOT,,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.96913250651325, 40.58000848848831], [-73.970410784215, 40.579780715771584]]]}",0133493,6028.0,1318,Retired,3,NEPTUNE AVE,W 6 ST,OCEAN PKWY,ON,III,III,L,1,,Shared,2005-08-01T00:00:00.000,Greenway,Brooklyn Waterfront,Main Alignment,DOT,2019-07-01T00:00:00.000,,,,other
